All_NBA,Player,Pos,Age,Tm,G,GS,MP/G,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Year,MP_season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0.0,Kareem Abdul-Jabbar*\abdulka01,5,41,LAL,74,74,22.9,4.2,8.9,0.0,0.0,4.2,8.9,0.475,1.6,2.2,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1,1989,1695,12.9,0.511,0.005,0.25,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,0.9,2.0,2.9,0.08199999999999999,-2.3,0.0,-2.3,-0.1
0.0,Mark Acres\acresma01,5,26,BOS,62,0,10.2,0.9,1.8,0.0,0.0,0.9,1.8,0.48700000000000004,0.4,0.8,1.0,1.4,2.4,0.3,0.3,0.1,0.4,1.5,2.2,1989,632,8.2,0.507,0.009000000000000001,0.42100000000000004,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,0.4,0.5,0.9,0.066,-2.1,-0.4,-2.5,-0.1
0.0,Michael Adams\adamsmi01,1,26,DEN,77,77,36.2,6.1,14.1,2.2,6.1,3.9,8.0,0.509,4.2,5.1,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5,1989,2787,17.5,0.5670000000000001,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,5.4,2.9,8.3,0.14300000000000002,3.8,-0.6,3.2,3.7
0.0,Mark Aguirre\aguirma01,3,29,TOT,80,76,32.5,7.3,15.9,0.6,2.2,6.7,13.7,0.48100000000000004,3.6,4.9,1.8,3.0,4.8,3.5,0.6,0.5,2.6,2.9,18.9,1989,2597,16.4,0.524,0.13699999999999998,0.309,6.4,10.0,8.3,17.9,0.9,0.8,12.6,27.4,2.4,2.1,4.5,0.08199999999999999,1.7,-1.2,0.5,1.7
0.0,Danny Ainge\aingeda01,1,29,TOT,73,54,32.6,6.6,14.4,1.6,4.2,5.0,10.2,0.512,2.8,3.3,1.0,2.5,3.5,5.5,1.3,0.1,2.0,2.5,17.5,1989,2377,18.0,0.5539999999999999,0.29,0.228,3.3,8.7,6.0,25.3,1.9,0.2,11.1,22.6,5.2,1.4,6.7,0.135,4.0,-1.6,2.3,2.6
0.0,Mark Alarie\alarima01,4,25,WSB,74,5,15.4,2.8,5.8,0.2,0.5,2.6,5.3,0.493,1.0,1.2,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7,1989,1141,13.3,0.531,0.08800000000000001,0.20199999999999999,9.5,15.2,12.2,7.8,1.0,1.1,11.7,18.7,1.2,1.0,2.2,0.09300000000000001,-0.7,-1.0,-1.8,0.1
0.0,Steve Alford\alforst01,1,24,TOT,66,3,13.7,2.2,4.9,0.3,0.8,1.9,4.1,0.488,0.8,0.9,0.2,0.9,1.1,1.4,0.7,0.0,0.7,0.9,5.5,1989,906,11.9,0.522,0.17,0.188,1.1,6.8,4.0,13.2,2.2,0.2,11.4,16.6,0.7,0.7,1.4,0.07200000000000001,-1.7,-1.8,-3.5,-0.3
0.0,Randy Allen\allenra01,2,24,SAC,7,0,6.1,1.1,2.7,0.0,0.1,1.1,2.6,0.42100000000000004,0.1,0.3,0.4,0.6,1.0,0.0,0.1,0.1,0.3,1.0,2.4,1989,43,6.9,0.428,0.053,0.105,7.4,10.2,8.7,0.0,1.1,1.3,9.1,20.9,-0.1,0.0,0.0,-0.035,-7.1,-5.2,-12.4,-0.1
0.0,Greg Anderson\andergr01,4,24,SAS,82,56,29.3,5.6,11.1,0.0,0.0,5.6,11.1,0.503,2.5,4.9,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7,1989,2401,14.9,0.516,0.003,0.441,11.2,20.2,15.5,3.7,2.0,2.6,14.2,20.6,0.4,3.1,3.4,0.069,-2.4,-0.1,-2.5,-0.3
0.0,Michael Anderson\andermi01,1,22,SAS,36,12,20.3,2.0,4.9,0.0,0.2,2.0,4.7,0.42,1.6,2.3,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7,1989,730,10.5,0.483,0.04,0.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,-0.5,0.6,0.2,0.01,-3.0,-0.4,-3.4,-0.3
0.0,Richard Anderson\anderri01,4,28,POR,72,3,15.0,2.0,4.8,0.7,2.0,1.3,2.9,0.48700000000000004,0.4,0.5,0.9,2.3,3.2,1.4,0.6,0.2,0.8,1.4,5.2,1989,1082,12.0,0.509,0.405,0.109,6.0,17.5,11.6,11.4,1.9,0.6,12.9,14.9,0.9,1.2,2.1,0.09300000000000001,-0.7,0.0,-0.7,0.4
0.0,Ron Anderson\anderro01,3,30,PHI,82,12,31.9,6.9,14.0,0.0,0.1,6.9,13.9,0.49200000000000005,2.4,2.8,2.0,2.9,5.0,1.7,0.9,0.3,1.5,2.0,16.2,1989,2618,15.3,0.531,0.01,0.19899999999999998,7.1,10.3,8.7,7.9,1.3,0.5,9.1,21.9,3.5,0.9,4.4,0.081,0.7,-1.7,-1.0,0.7
0.0,Willie Anderson\anderwi01,3,22,SAS,81,79,33.8,7.9,15.9,0.0,0.3,7.9,15.6,0.5,2.8,3.6,1.9,3.3,5.1,4.6,1.9,0.8,3.2,3.6,18.6,1989,2738,16.6,0.534,0.016,0.225,5.8,11.1,8.4,21.1,2.5,1.4,15.6,23.8,2.1,2.8,4.9,0.085,0.9,0.6,1.5,2.4
0.0,John Bagley\baglejo01,1,28,NJN,68,20,24.1,2.9,7.1,0.2,0.8,2.8,6.3,0.42700000000000005,1.3,1.8,0.5,1.6,2.1,5.8,1.1,0.1,2.3,1.7,7.4,1989,1642,11.3,0.467,0.11199999999999999,0.256,2.4,7.6,4.9,33.1,2.1,0.2,22.9,17.3,-0.6,1.0,0.4,0.013000000000000001,-2.5,-1.5,-4.0,-0.8
0.0,Thurl Bailey\baileth01,3,27,UTA,82,3,33.9,7.5,15.5,0.0,0.1,7.5,15.5,0.484,4.4,5.4,1.4,4.0,5.5,1.7,0.6,1.1,2.5,2.3,19.5,1989,2777,15.6,0.544,0.004,0.34600000000000003,5.0,12.3,8.9,8.5,0.8,2.0,12.4,25.5,2.4,4.1,6.5,0.113,-1.1,0.3,-0.8,0.8
0.0,Greg Ballard\ballagr01,3,34,SEA,2,0,7.5,0.5,4.0,0.0,0.5,0.5,3.5,0.125,2.0,2.0,1.0,2.5,3.5,0.0,0.0,0.0,0.0,1.5,3.0,1989,15,7.1,0.307,0.125,0.5,14.5,38.5,26.1,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.021,-10.7,-11.3,-21.9,-0.1
0.0,Ken Bannister\bannike01,4,28,LAC,9,2,14.4,2.4,4.0,0.0,0.1,2.4,3.9,0.611,3.3,5.9,0.7,3.0,3.7,0.3,0.8,0.2,0.9,1.9,8.2,1989,130,17.9,0.624,0.027999999999999997,1.472,4.9,22.1,13.6,3.2,2.5,0.9,11.9,20.4,0.3,0.2,0.4,0.15,-1.7,-2.0,-3.7,-0.1
1.0,Charles Barkley*\barklch01,4,25,PHI,79,79,39.1,8.9,15.3,0.4,2.1,8.4,13.2,0.594,7.6,10.1,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,1989,3088,27.0,0.653,0.134,0.6609999999999999,14.5,21.3,17.9,16.0,2.0,1.3,14.0,24.4,13.2,2.9,16.1,0.25,8.5,1.3,9.8,9.2
0.0,John Battle\battljo01,2,26,ATL,82,0,20.4,3.5,7.7,0.1,0.4,3.4,7.2,0.466,2.4,2.9,0.4,1.3,1.7,2.4,0.5,0.1,1.3,1.5,9.5,1989,1672,13.5,0.532,0.054000000000000006,0.379,1.9,7.3,4.6,17.1,1.2,0.3,12.4,20.4,2.2,1.0,3.2,0.092,-0.4,-2.1,-2.5,-0.2
0.0,Benoit Benjamin\benjabe01,5,24,LAC,79,62,32.7,6.2,11.5,0.0,0.0,6.2,11.5,0.541,4.0,5.4,2.1,6.7,8.8,2.0,0.7,2.8,3.0,2.8,16.4,1989,2585,17.4,0.593,0.002,0.47,6.8,21.9,14.4,8.7,1.0,4.7,17.8,20.3,2.3,2.9,5.1,0.095,-1.3,1.6,0.4,1.5
0.0,Ricky Berry\berryri01,2,24,SAC,64,21,22.0,4.0,8.9,1.0,2.5,3.0,6.4,0.507,2.0,2.6,0.9,2.2,3.1,1.3,0.6,0.3,1.3,3.1,11.0,1989,1406,13.1,0.552,0.282,0.293,4.3,10.9,7.5,8.5,1.3,0.9,11.4,21.1,1.6,0.8,2.4,0.083,0.0,-1.8,-1.7,0.1
0.0,Walter Berry\berrywa01,4,24,TOT,69,31,19.6,3.7,7.3,0.0,0.0,3.7,7.2,0.508,1.4,2.1,1.2,2.6,3.9,1.1,0.4,0.7,1.3,2.7,8.8,1989,1355,13.2,0.54,0.004,0.285,6.9,14.8,10.8,8.5,1.0,2.1,13.6,19.5,1.0,1.4,2.4,0.085,-1.9,-0.1,-2.0,0.0
0.0,Larry Bird*\birdla01,3,32,BOS,6,6,31.5,8.2,17.3,0.0,0.0,8.2,17.3,0.47100000000000003,3.0,3.2,0.2,6.0,6.2,4.8,1.0,0.8,1.8,3.0,19.3,1989,189,19.8,0.516,0.0,0.183,0.6,21.6,11.2,24.3,1.6,1.6,8.9,27.1,0.3,0.2,0.5,0.129,0.6,-0.1,0.5,0.1
0.0,Otis Birdsong\birdsot01,2,33,BOS,13,0,8.3,1.4,2.8,0.1,0.2,1.3,2.5,0.514,0.0,0.2,0.3,0.7,1.0,0.7,0.2,0.1,0.9,0.8,2.8,1989,108,7.0,0.502,0.083,0.055999999999999994,4.3,9.4,6.9,11.5,1.4,0.5,24.5,18.8,-0.2,0.1,-0.1,-0.051,-4.6,-1.7,-6.3,-0.1
0.0,Uwe Blab\blabuw01,5,26,DAL,37,0,5.6,0.6,1.4,0.0,0.0,0.6,1.4,0.462,0.5,0.7,0.3,0.9,1.2,0.3,0.1,0.4,0.4,1.0,1.8,1989,208,10.8,0.54,0.0,0.48100000000000004,5.9,17.3,11.7,8.2,0.7,3.6,18.2,16.0,0.1,0.2,0.3,0.069,-4.2,0.5,-3.7,-0.1
0.0,Rolando Blackman\blackro01,2,29,DAL,78,78,37.8,7.6,16.0,0.4,1.1,7.2,14.9,0.488,4.1,4.7,0.9,2.6,3.5,3.7,0.8,0.3,2.1,1.8,19.7,1989,2946,15.9,0.5429999999999999,0.068,0.29600000000000004,2.6,7.5,5.1,15.8,1.1,0.4,10.5,23.2,4.2,1.4,5.7,0.092,1.1,-1.7,-0.6,1.0
0.0,Muggsy Bogues\boguemu01,1,24,CHH,79,21,22.2,2.3,5.3,0.0,0.2,2.2,5.1,0.42700000000000005,0.8,1.1,0.7,1.4,2.1,7.8,1.4,0.1,1.6,1.8,5.4,1989,1755,15.3,0.46299999999999997,0.031,0.21100000000000002,3.2,7.4,5.2,46.2,3.0,0.2,21.4,13.6,1.6,1.0,2.6,0.07,-1.2,-1.9,-3.1,-0.5
0.0,Manute Bol\bolma01,5,26,GSW,80,4,22.1,1.6,4.3,0.3,1.1,1.3,3.2,0.39799999999999996,0.5,0.8,1.5,4.3,5.8,0.3,0.1,4.3,1.0,2.8,3.9,1989,1769,9.8,0.42100000000000004,0.265,0.192,6.6,19.5,13.1,1.8,0.3,10.8,17.5,9.7,-1.2,2.8,1.7,0.046,-5.7,4.7,-1.0,0.4
0.0,Anthony Bowie\bowiean01,2,25,SAS,18,5,24.3,4.0,8.0,0.1,0.3,3.9,7.7,0.503,0.6,0.8,1.4,1.7,3.1,1.6,1.0,0.2,1.2,2.4,8.6,1989,438,10.6,0.515,0.035,0.10400000000000001,6.0,8.1,7.0,9.3,1.9,0.5,12.7,15.3,0.2,0.3,0.5,0.054000000000000006,-1.9,-0.6,-2.5,-0.1
0.0,Sam Bowie\bowiesa01,5,27,POR,20,0,20.6,3.5,7.7,0.3,0.4,3.2,7.3,0.467,1.4,2.5,1.8,3.5,5.3,1.8,0.4,1.7,1.7,2.2,8.6,1989,412,13.7,0.49,0.046,0.32,9.2,19.1,14.0,11.4,0.8,4.7,15.9,19.4,0.0,0.5,0.5,0.063,-2.7,1.4,-1.2,0.1
0.0,Dudley Bradley\bradldu01,2,31,ATL,38,0,7.0,0.7,2.3,0.2,0.8,0.5,1.4,0.37200000000000005,0.2,0.4,0.2,0.7,0.8,0.6,0.4,0.1,0.4,1.1,1.9,1989,267,6.1,0.387,0.36,0.18600000000000003,2.8,10.4,6.5,11.9,2.9,0.4,13.1,16.3,-0.3,0.3,0.0,0.004,-3.3,-0.1,-3.4,-0.1
0.0,Adrian Branch\brancad01,3,25,POR,67,4,12.1,3.0,6.5,0.1,0.5,2.9,6.0,0.47100000000000003,1.3,1.8,0.9,1.0,2.0,0.9,0.7,0.0,1.0,1.5,7.4,1989,811,15.7,0.509,0.071,0.275,8.2,9.6,8.8,10.8,2.6,0.2,11.6,26.3,0.7,0.8,1.5,0.087,-0.4,-2.2,-2.6,-0.1
0.0,Randy Breuer\breuera01,5,28,MIL,48,4,10.7,1.8,3.7,0.0,0.0,1.8,3.7,0.48,0.6,1.1,1.1,1.8,2.8,0.5,0.2,0.8,0.6,1.2,4.2,1989,513,13.8,0.496,0.0,0.285,11.3,19.2,15.2,6.2,0.9,4.5,12.6,18.6,0.2,0.7,0.9,0.083,-2.9,0.8,-2.0,0.0
0.0,Frank Brickowski\brickfr01,5,29,SAS,64,60,28.5,5.3,10.2,0.0,0.0,5.3,10.2,0.515,3.1,4.4,2.3,4.0,6.3,2.0,1.6,0.5,2.6,3.9,13.7,1989,1822,15.0,0.563,0.003,0.43,8.5,16.3,12.2,10.4,2.6,1.1,17.5,20.1,1.4,2.2,3.6,0.094,-0.5,0.9,0.4,1.1
0.0,Scott Brooks\brooksc01,1,23,PHI,82,6,16.7,1.9,4.5,0.7,1.9,1.2,2.7,0.495,0.7,0.8,0.2,0.9,1.1,3.7,0.8,0.0,0.8,1.4,5.2,1989,1372,14.0,0.5329999999999999,0.41200000000000003,0.18600000000000003,1.5,6.2,3.8,28.9,2.4,0.1,13.9,14.1,2.3,0.6,2.9,0.10300000000000001,1.2,-2.7,-1.4,0.2
0.0,Mike Brown\brownmi01,5,25,UTA,66,16,15.9,1.6,3.8,0.0,0.0,1.6,3.8,0.419,1.4,2.0,1.4,2.5,3.9,0.6,0.4,0.3,1.2,2.0,4.5,1989,1051,8.4,0.491,0.0,0.524,10.5,16.3,13.6,5.5,1.2,1.0,20.1,15.4,-0.4,1.8,1.4,0.064,-3.8,1.2,-2.6,-0.2
